coefficient_name,share,target,error,error_pct
coef_sr3p_ASC_walk_othmaint,0.008935780804220273,0.01418317514558942,-0.005247394341369147,-0.36997317508279826
coef_tnc_shared_ASC_sr2_othmaint,0.25,0,0.25,0.25
coef_tnc_shared_ASC_sr3p_othmaint,0.25,0,0.25,0.25
coef_tnc_shared_ASC_tnc_shared_othmaint,0.5,0,0.5,0.5
coef_walk_ASC_taxi_othmaint,0.0019693346462230973,0,0.0019693346462230973,0.0019693346462230973
coef_walk_ASC_tnc_shared_othmaint,0.0029540019693346463,0,0.0029540019693346463,0.0029540019693346463
coef_walk_ASC_tnc_single_othmaint,0.0018286678857785904,0,0.0018286678857785904,0.0018286678857785904
coef_walk_ASC_walk_othmaint,0.9932479954986637,1,-0.006752004501336284,-0.006752004501336284
coef_walk_transit_ASC_bike_othmaint,0,0.00383071757140588,-0.00383071757140588,-1
coef_walk_transit_ASC_sov_othmaint,0,0.12338913435112706,-0.12338913435112706,-1
coef_walk_transit_ASC_sr2_othmaint,0,0.06958348879372889,-0.06958348879372889,-1
coef_walk_transit_ASC_sr3p_othmaint,8.829242450997704e-4,0.04838672372538969,-0.047503799480289925,-0.9817527582542962
coef_walk_transit_ASC_walk_othmaint,0.059332509270704575,0.05717633215309899,0.002156177117605587,0.03771100797148145
