ZONE,FID,ContourEle,ElevationR,SHAPE_Leng,SHAPE_Area
982,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
983,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
984,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
985,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
986,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
987,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
988,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
989,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
990,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
991,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
992,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
993,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
994,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
995,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
996,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
997,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
998,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
999,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
1000,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
