Index,CO_TAZID,TOTHH,TOTPOP,HHSIZE,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
114,30114,42.7,135.1,3.16,11.7,0.1,0,0.2,1.4,0,0.1,0,2.2,0,2.7,2.3,2.5,53211,0,0,0,3,BOX ELDER
115,30115,15.1,49.7,3.28,8.7,1,0,0.1,0,0,0,0,0,0,0,6.6,0.9,75963,0,0,0,3,BOX ELDER
116,30116,40.9,76.9,1.88,14.6,0,0,0,0,0,0,0,0,0,0,12.2,2.4,53211,0,0,0,3,BOX ELDER
117,30117,62.5,174.4,2.79,66.1,1,0,0,0,2.3,57.1,0,2.2,0,0,0,3.6,53211,265,0,0,3,BOX ELDER
118,30118,173.2,427.5,2.47,26.6,2,0,6.4,1.5,0,0.1,0.1,4.4,0,0,1.9,10.1,75963,0,0,0,3,BOX ELDER
119,30119,85.7,230,2.68,5,0,0,0,0,0,0,0,0,0,0,0,5,53211,0,0,0,3,BOX ELDER
120,30120,60.4,180.3,2.98,11.6,0,0,0,6.6,0,0,1.5,0,0,0,0,3.5,53211,0,0,0,3,BOX ELDER
121,30121,59.9,172.2,2.88,9.5,0,0,1.3,0,0,0,0.8,0,0,0,3.7,3.5,75963,0,0,0,3,BOX ELDER
122,30122,9.4,11.3,1.2,8.5,0,0,0,0,0,0,0,0,0,0,8,0.5,53211,0,0,0,3,BOX ELDER
123,30123,55.4,168.6,3.04,14.1,0,0,0,0,0.6,0,0,0,0,0,10.3,3.2,75963,0,0,0,3,BOX ELDER
124,30124,124.5,389.3,3.13,24.9,0.3,0.2,0.7,0.3,0.7,0.4,0.2,6.9,0,0,8,7.3,53211,0,0,0,3,BOX ELDER
125,30125,59,192.2,3.26,99.4,13.2,0.2,6.1,0.5,1.9,0.5,0.3,5.1,42.5,0,25.7,3.4,75963,0,0,0,3,BOX ELDER
126,30126,153,532.7,3.48,52.7,2.2,0.1,11.8,0.2,0.7,0.3,2.5,6.8,0,0,19.2,8.9,53211,0,0,0,3,BOX ELDER
127,30127,170.9,561.3,3.28,81.1,5.2,0.2,0.8,0.4,1.3,0.4,0.2,9.2,0,0,53.4,10,75963,0,0,0,3,BOX ELDER
128,30128,93.3,217.4,2.33,175.2,5.3,0.8,22.1,24.8,0.6,12.4,1,4.7,0,13.5,84.7,5.4,69896,0,0,0,3,BOX ELDER
129,30129,45.5,118.6,2.6,10.7,0,0,0,0,0,0,0,0,0,0,8,2.7,53211,0,0,0,3,BOX ELDER
130,30130,3.1,10,3.17,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,53211,0,0,0,3,BOX ELDER
131,30131,2.3,6.6,2.85,11.3,0,0,0,0,0,0,0,10.7,0,0,0.5,0.1,53211,0,0,0,3,BOX ELDER
132,30132,1.1,4.3,3.81,25.9,0,0,0,25.8,0,0,0,0,0,0,0,0.1,53211,0,0,0,3,BOX ELDER
133,30133,4.1,15.8,3.81,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,53211,0,0,0,3,BOX ELDER
134,30134,1.1,2.1,1.88,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,53211,0,0,0,3,BOX ELDER
