tazid,tothh,resacre,ciacre,totemp,cbd
371,494,85.747566399,2.960376734,69,0
372,256,47.512297274,0,130,0
373,841,155.466137795,10.192574690999999,591,0
374,544,95.26708484,1.8454251179999999,85,0
375,136,58.7946945046,80.221326977,13,0
376,432,141.776600535,5.224020859,394,0
377,240,41.771865718,64.725137013,1822,0
378,236,50.978716508,5.139927594,104,0
379,152,28.146538981,6.211253189,340,0
380,442,158.927657041,0.938404112,55,0
381,204,59.259706121,7.361572572,160,0
382,603,107.25418039899999,46.747706992,6425,0
383,315,98.877777576,0.885810531,2849,0
384,190,35.417176263,7.969858683,368,0
385,303,140.85556774,10.713057159,29,0
386,1113,216.947355044,5.703120313,167,0
387,638,108.092424901,24.733087976,217,0
388,333,87.895190539,62.620791578,1563,0
389,194,54.63271048,25.556036136,682,0
390,182,30.939469856,0,93,0
391,1,0.158062267,78.428301,190,0
392,450,73.926020652,3.822182229,99,0
393,608,93.236530327,0.7966126729999999,140,0
394,606,141.559095775,51.760586072,357,0
395,462,125.626035894,6.042802475999999,329,0
396,582,133.833497487,4.388337141,138,0
397,279,92.179089211,78.67012217,957,0
398,195,41.693269552,11.513385380999999,371,0
399,1,22.88568354,0,0,0
400,3,2.709041227,37.212875462999996,2410,0
401,709,234.055548216,77.433982954,881,0
402,0,0,0,0,0
403,308,62.793085102999996,105.90296627000001,1826,0
404,223,148.819537321,3.147533548,317,0
405,811,124.579064996,2.595863382,247,0
406,435,102.244754089,2.632437297,45,0
407,439,92.670459418,0,174,0
408,245,39.686656051,23.26396281,657,0
409,359,104.02682226,12.726114455,143,0
410,14,4.077386233,29.840458022,2074,0
411,388,64.365360528,15.189280487,1164,0
412,1023,278.759956544,34.777086605,910,0
413,962,155.22671057,48.592464616,2416,0
414,398,461.510713672,27.806598983,435,0
415,924,257.873133484,15.915936163,886,0
416,185,51.155504461,27.629236505999998,1831,0
417,1586,810.027219542,43.314964196,1101,0
418,1194,719.348934709,40.163532895,817,0
419,405,283.065979555,4.743778333,164,0
420,275,259.675480706,11.5782828968,168,0
424,69,199.830105347,55.906008245,34,0
425,52,58.901488005,0,91,0
426,615,379.621239538,40.38515279,190,0
427,1117,457.905479082,136.93385944300002,191,0
428,101,134.349201744,0,234,0
429,304,233.130982246,89.719907654,87,0
430,359,252.268221364,22.278441396999998,156,0
431,226,101.126915833,18.833029305,61,0
432,330,344.71098195,11.463498505,85,0
433,340,119.330136498,2.426583743,26,0
434,836,201.41824241199998,19.784594338,498,0
435,874,222.899233596,8.166337135,327,0
436,230,150.590411972,23.513420382,84,0
437,51,24.451934526,0.534315115,65,0
438,265,70.791080457,0.237684425,23,0
439,91,29.981016372,92.998476518,1413,0
440,373,96.132137985,3.501311313,156,0
