TAZID,CO_FIPS,xcoord,ycoord
1556,35,-111.934062625549,40.5404375881285
1553,35,-111.935628392628,40.5551275686734
1557,35,-111.920028052763,40.5558514482087
1559,35,-111.923049419949,40.5409945432693
1516,35,-111.901973487524,40.5755418717297
1560,35,-111.908371426217,40.5719781956535
1510,35,-111.923821170812,40.575919663611
1562,35,-111.901261005106,40.5644923691782
1563,35,-111.907649366794,40.5505750485951
1565,35,-112.001829196393,40.5303956348892
1566,35,-111.988641253054,40.5296622546531
1568,35,-111.973464307286,40.5292328235131
1571,35,-111.94381326069,40.529713728241
1572,35,-111.933864560679,40.5295244217526
1573,35,-111.924237281213,40.5307682561615
1574,35,-111.914642896232,40.5342892514664
1564,35,-111.899061212408,40.5504968600112
1576,35,-111.90067898628,40.5391799508868
1578,35,-111.894766301319,40.5353782894238
1581,35,-111.995418153296,40.5112385768173
1579,35,-112.002953718708,40.5154224524106
1580,35,-111.995338786778,40.5189946183255
1583,35,-111.980125348111,40.5138291663327
1585,35,-111.970114748558,40.5045376198755
1590,35,-111.943856607567,40.5183609535577
1591,35,-111.948262069351,40.5112210362694
1594,35,-111.922470415502,40.5173496212721
1595,35,-111.933733316588,40.5054937517366
1593,35,-111.933963978175,40.5168784625127
1596,35,-111.922568886722,40.5054755906475
1575,35,-111.907067273824,40.5360335795929
1597,35,-111.911458397448,40.5212151005351
1599,35,-111.91135630296,40.5070599873196
1600,35,-111.899714245439,40.5087628071221
1605,35,-111.998579109869,40.5022338290322
1582,35,-111.987451894261,40.5150927026828
1609,35,-111.985646679535,40.5038967534749
1607,35,-111.983452667925,40.4833658845577
1610,35,-111.982835934386,40.4960991398426
1606,35,-111.994544285843,40.491786397137
1588,35,-111.96088812703,40.5039085162534
1611,35,-111.97187902357,40.4956102636937
1612,35,-111.972158880799,40.4852984630604
1613,35,-111.962329569135,40.494787302138
1619,35,-111.955227785225,40.475146077288
1620,35,-111.945280850549,40.4846607771458
1615,35,-111.943581245104,40.4952766591985
1622,35,-111.939440713904,40.4723281794846
1621,35,-111.938623836659,40.4816646323779
1623,35,-111.929328407382,40.4812526799673
1624,35,-111.912060778522,40.4822814074212
1626,35,-111.967071429082,40.4736281153936
1608,35,-111.991951343406,40.4727295308884
1627,35,-111.96835757443,40.4634017378512
1628,35,-111.951452040907,40.4640989960905
1631,35,-111.920480661238,40.4610942064604
1246,35,-111.893498383229,40.6381887454995
1632,35,-111.901455548579,40.6322660093496
1634,35,-111.900742613861,40.6244194494802
1256,35,-111.877601476242,40.6342374315834
1638,35,-111.885975278961,40.6259308135867
1633,35,-111.894520757389,40.6309009834534
1641,35,-111.877141812597,40.6178524546293
1642,35,-111.887166912142,40.61257573187
1644,35,-111.86910653706,40.6258428477256
1645,35,-111.86379646179,40.6260811322457
1643,35,-111.878032888573,40.6121367289904
1646,35,-111.869370139367,40.6179668103663
1647,35,-111.859731853217,40.6218715339261
1648,35,-111.86328258086,40.6134297981621
1259,35,-111.860469389538,40.6355748853156
1649,35,-111.858497930635,40.6279451257275
1651,35,-111.839330035125,40.6278029317955
1653,35,-111.8386249674,40.6206503235807
1652,35,-111.849117028568,40.6203370551007
1654,35,-111.836491876614,40.6128993175531
1655,35,-111.829260424872,40.6290629643109
1656,35,-111.817817766192,40.6282758251489
1658,35,-111.801175873406,40.6271749809853
1659,35,-111.791300983999,40.6251406190027
1661,35,-111.819971159832,40.6181614232862
1662,35,-111.826025945729,40.60951997473
1667,35,-111.791126816108,40.6027620747767
1479,35,-111.907386078207,40.604587022922
1669,35,-111.901032872679,40.6084657907316
1670,35,-111.893731101871,40.6084217581688
1671,35,-111.900428464298,40.6018907397523
1673,35,-111.898757268815,40.5935662749108
1674,35,-111.893444773068,40.5935879584849
1676,35,-111.88853797172,40.6006579811921
1675,35,-111.881505857961,40.6076950476203
1672,35,-111.893473879942,40.6024910149898
1677,35,-111.883070945218,40.6019440331804
1678,35,-111.875899455693,40.6019385829114
1683,35,-111.8455867733,40.6112981562114
1682,35,-111.85786991677,40.5984468639453
1686,35,-111.844044991927,40.5970039654839
1687,35,-111.826529497077,40.6041831789801
1691,35,-111.883787552189,40.5922777097859
1690,35,-111.888220375566,40.5922291043929
1692,35,-111.876923959015,40.5962222590424
1697,35,-111.848367006297,40.591537497138
1698,35,-111.840640922419,40.5909213947995
1699,35,-111.849045196778,40.5846386268599
1700,35,-111.839294156959,40.5840834354007
1701,35,-111.824818737399,40.5852263290767
1668,35,-111.791709239137,40.5782169047053
1702,35,-111.808954836548,40.5819949114233
1703,35,-111.895386095916,40.5843752838919
1515,35,-111.901649623084,40.5840882578272
1704,35,-111.895539781645,40.5782451186232
1706,35,-111.888495354682,40.5844248279976
1707,35,-111.883931268124,40.5843126132883
1709,35,-111.888487062502,40.5753663251616
1710,35,-111.883940200406,40.5772395269925
1713,35,-111.87862939515,40.5711788309654
1712,35,-111.886929716622,40.5685004381857
1715,35,-111.862792583559,40.5768028150922
1717,35,-111.856760447871,40.5675600706888
1716,35,-111.865113127075,40.5706571089161
1718,35,-111.848449037582,40.5768254318676
1721,35,-111.815658783964,40.57375240223
1719,35,-111.839767472993,40.577172977118
1722,35,-111.845511188646,40.5668517733972
1725,35,-111.803102013197,40.5728524100769
1726,35,-111.794225583301,40.5684094275174
1727,35,-111.895240888499,40.5668585049713
1730,35,-111.886244881253,40.5622389535485
1731,35,-111.877144208482,40.5642541565712
1734,35,-111.876213501881,40.555238273801
1737,35,-111.867454343952,40.5551372040976
1740,35,-111.858068037698,40.5478990533562
1741,35,-111.847365704868,40.5563518770236
1743,35,-111.838388070976,40.5504324586606
1744,35,-111.821755682511,40.5548392269287
1745,35,-111.802513411777,40.5596743151354
1746,35,-111.818358594546,40.5453359595708
1747,35,-111.886475187202,40.5406740872749
1748,35,-111.87857433865,40.5400586683095
1729,35,-111.893482229988,40.5502143572422
1750,35,-111.886840145867,40.5318470251635
1751,35,-111.875093839756,40.5314921565408
1749,35,-111.873886037235,40.5410494641546
1752,35,-111.866702587825,40.5376092077712
1754,35,-111.858283123127,40.5276262456374
1755,35,-111.84902313581,40.5367864825986
1757,35,-111.850006161376,40.5266248361047
1760,35,-111.886351909564,40.521016368538
1761,35,-111.874621973192,40.5205422932431
1763,35,-111.875919256566,40.5090003416693
1765,35,-111.849422518658,40.5237688539441
1764,35,-111.862224942018,40.5230741664768
1768,35,-111.849796197136,40.5140682548623
1774,35,-111.843061546042,40.5019285626927
1769,35,-111.839590370433,40.5135532853154
1759,35,-111.826858800241,40.5323399766888
1771,35,-111.887701765715,40.4957497797763
