taz,parkingType,pricingModel,chargingPointType,numStalls,feeInCents,reservedFor
148,Workplace,Block,NoCharger,1000000,0,Any
149,Public,Block,NoCharger,1000000,0,Any
149,Residential,Block,NoCharger,1000000,0,Any
149,Workplace,Block,NoCharger,1000000,0,Any
150,Public,Block,NoCharger,1000000,0,Any
150,Residential,Block,NoCharger,1000000,0,Any
150,Workplace,Block,NoCharger,1000000,0,Any
151,Public,Block,NoCharger,1000000,0,Any
151,Residential,Block,NoCharger,1000000,0,Any
151,Workplace,Block,NoCharger,1000000,0,Any
152,Public,Block,NoCharger,1000000,0,Any
152,Residential,Block,NoCharger,1000000,0,Any
152,Workplace,Block,NoCharger,1000000,0,Any
153,Public,Block,NoCharger,1000000,0,Any
153,Residential,Block,NoCharger,1000000,0,Any
153,Workplace,Block,NoCharger,1000000,0,Any
154,Public,Block,NoCharger,1000000,0,Any
154,Residential,Block,NoCharger,1000000,0,Any
154,Workplace,Block,NoCharger,1000000,0,Any
155,Public,Block,NoCharger,1000000,0,Any
155,Residential,Block,NoCharger,1000000,0,Any
155,Workplace,Block,NoCharger,1000000,0,Any
156,Public,Block,NoCharger,1000000,0,Any
156,Residential,Block,NoCharger,1000000,0,Any
156,Workplace,Block,NoCharger,1000000,0,Any
157,Public,Block,NoCharger,1000000,0,Any
157,Residential,Block,NoCharger,1000000,0,Any
157,Workplace,Block,NoCharger,1000000,0,Any
158,Public,Block,NoCharger,1000000,0,Any
158,Residential,Block,NoCharger,1000000,0,Any
158,Workplace,Block,NoCharger,1000000,0,Any
159,Public,Block,NoCharger,1000000,0,Any
159,Residential,Block,NoCharger,1000000,0,Any
159,Workplace,Block,NoCharger,1000000,0,Any
160,Public,Block,NoCharger,1000000,0,Any
160,Residential,Block,NoCharger,1000000,0,Any
160,Workplace,Block,NoCharger,1000000,0,Any
161,Public,Block,NoCharger,1000000,0,Any
161,Residential,Block,NoCharger,1000000,0,Any
161,Workplace,Block,NoCharger,1000000,0,Any
162,Public,Block,NoCharger,1000000,0,Any
162,Residential,Block,NoCharger,1000000,0,Any
162,Workplace,Block,NoCharger,1000000,0,Any
163,Public,Block,NoCharger,1000000,0,Any
163,Residential,Block,NoCharger,1000000,0,Any
163,Workplace,Block,NoCharger,1000000,0,Any
164,Public,Block,NoCharger,1000000,0,Any
164,Residential,Block,NoCharger,1000000,0,Any
164,Workplace,Block,NoCharger,1000000,0,Any
165,Public,Block,NoCharger,1000000,0,Any
165,Residential,Block,NoCharger,1000000,0,Any
165,Workplace,Block,NoCharger,1000000,0,Any
166,Public,Block,NoCharger,1000000,0,Any
166,Residential,Block,NoCharger,1000000,0,Any
166,Workplace,Block,NoCharger,1000000,0,Any
167,Public,Block,NoCharger,1000000,0,Any
167,Residential,Block,NoCharger,1000000,0,Any
167,Workplace,Block,NoCharger,1000000,0,Any
168,Public,Block,NoCharger,1000000,0,Any
168,Residential,Block,NoCharger,1000000,0,Any
168,Workplace,Block,NoCharger,1000000,0,Any
169,Public,Block,NoCharger,1000000,0,Any
169,Residential,Block,NoCharger,1000000,0,Any
169,Workplace,Block,NoCharger,1000000,0,Any
170,Public,Block,NoCharger,1000000,0,Any
170,Residential,Block,NoCharger,1000000,0,Any
170,Workplace,Block,NoCharger,1000000,0,Any
171,Public,Block,NoCharger,1000000,0,Any
171,Residential,Block,NoCharger,1000000,0,Any
171,Workplace,Block,NoCharger,1000000,0,Any
172,Public,Block,NoCharger,1000000,0,Any
172,Residential,Block,NoCharger,1000000,0,Any
172,Workplace,Block,NoCharger,1000000,0,Any
173,Public,Block,NoCharger,1000000,0,Any
173,Residential,Block,NoCharger,1000000,0,Any
173,Workplace,Block,NoCharger,1000000,0,Any
174,Public,Block,NoCharger,1000000,0,Any
174,Residential,Block,NoCharger,1000000,0,Any
174,Workplace,Block,NoCharger,1000000,0,Any
175,Public,Block,NoCharger,1000000,0,Any
